open,close,dir,entry,sl,tp,exit,r,why,hold_h
2016-12-01 19:15,2016-12-01 20:45,sell,1164.84,1171.44,1151.63,1171.44,-1.000,sl,1.50
2016-12-02 05:15,2016-12-02 06:15,sell,1173.28,1176.39,1167.05,1176.39,-1.000,sl,1.00
2016-12-02 11:45,2016-12-02 13:15,sell,1174.55,1176.74,1170.18,1170.18,2.000,tp,1.50
2016-12-05 03:45,2016-12-05 17:00,sell,1172.52,1179.73,1158.11,1158.11,2.000,tp,13.25
2016-12-05 17:00,2016-12-05 18:00,sell,1159.22,1164.06,1149.53,1164.06,-1.000,sl,1.00
2016-12-05 23:30,2016-12-06 03:00,sell,1169.37,1173.05,1162.02,1173.05,-1.000,sl,2.50
2016-12-06 06:45,2016-12-06 10:00,sell,1171.72,1173.89,1167.37,1173.89,-1.000,sl,3.25
2016-12-06 13:30,2016-12-06 14:15,sell,1170.01,1172.33,1165.37,1172.33,-1.000,sl,0.75
2016-12-06 20:00,2016-12-07 10:30,sell,1167.55,1171.05,1160.55,1171.05,-1.000,sl,13.50
2016-12-08 22:30,2016-12-09 02:15,sell,1169.96,1171.60,1166.69,1166.69,2.000,tp,2.75
2016-12-09 05:45,2016-12-09 08:00,sell,1167.00,1168.95,1163.11,1168.95,-1.000,sl,2.25
2016-12-09 12:30,2016-12-09 13:45,sell,1168.76,1170.89,1164.51,1164.51,2.000,tp,1.25
2016-12-09 19:00,2016-12-12 19:30,sell,1159.37,1164.18,1149.76,1164.18,-1.000,sl,23.50
2016-12-13 06:30,2016-12-13 10:30,sell,1161.91,1163.69,1158.35,1158.35,2.000,tp,4.00
2016-12-13 14:45,2016-12-13 15:15,sell,1158.43,1160.77,1153.75,1160.77,-1.000,sl,0.50
2016-12-14 06:30,2016-12-14 08:15,sell,1159.48,1161.15,1156.15,1161.15,-1.000,sl,1.75
2016-12-14 21:45,2016-12-15 02:15,sell,1149.14,1155.10,1137.22,1137.22,2.000,tp,3.50
2016-12-15 05:00,2016-12-15 12:15,sell,1142.46,1146.59,1134.20,1134.20,2.000,tp,7.25
2016-12-15 12:15,2016-12-15 18:00,sell,1132.28,1135.67,1125.50,1125.50,2.000,tp,5.75
2016-12-15 18:30,2016-12-15 19:45,sell,1122.84,1128.48,1111.56,1128.48,-1.000,sl,1.25
2016-12-16 02:00,2016-12-16 02:45,sell,1126.85,1129.43,1121.70,1129.43,-1.000,sl,0.75
2016-12-16 15:00,2016-12-16 17:45,sell,1132.77,1135.17,1127.96,1127.96,2.000,tp,2.75
2016-12-16 21:30,2016-12-19 03:00,sell,1133.70,1138.54,1124.02,1138.54,-1.000,sl,4.50
